"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-0.266628433796678,-0.183016124996355,-0.106304909606888,-0.0340032687645334,0.0384857098990162,0.121600639328631,0.23907229323695,0.401449990730956,0.686743155567359,1.46036002076883
"A2",-0.224261709336691,-0.140649400536368,-0.0639381851469015,0.00836345569545327,0.0808524343590029,0.163967363788617,0.281439017696937,0.443816715190942,0.729109880027345,NA
"A3",-0.192425558368533,-0.108813249568209,-0.0321020341787427,0.0401996066636121,0.112688585327162,0.195803514756776,0.313275168665096,0.475652866159101,NA,NA
"A4",-0.165084317554964,-0.0814720087546402,-0.00476079336517393,0.0675408474771809,0.14002982614073,0.223144755570345,0.340616409478665,NA,NA,NA
"A5",-0.140839919270915,-0.0572276104705914,0.0194836049188748,0.0917852457612296,0.164274224424779,0.247389153854394,NA,NA,NA,NA
"A6",-0.117413303812788,-0.0338009950124641,0.0429102203770021,0.115211861219357,0.187700839882907,NA,NA,NA,NA,NA
"A7",-0.0924226359028917,-0.0088103271025679,0.0679008882868984,0.140202529129253,NA,NA,NA,NA,NA,NA
"A8",-0.0650427171695465,0.0185695916307772,0.0952808070202435,NA,NA,NA,NA,NA,NA,NA
"A9",-0.0346867730792035,0.0489255357211202,NA,NA,NA,NA,NA,NA,NA,NA
"A10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
