"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-1.38748514658936,-0.936743609880263,-0.614245942162138,-0.313698157711757,0.0100110355987582,0.422467459573921,1.07334130273602,2.06431517427663,3.9465098611014,9.30497634626831
"A2",-1.08852592610948,-0.637784389400384,-0.315286721682259,-0.0147389372318777,0.308970256078637,0.7214266800538,1.3723005232159,2.36327439475651,4.24546908158128,NA
"A3",-0.859485626211519,-0.40874408950242,-0.0862464217842962,0.214301362666085,0.538010555976601,0.950466979951763,1.60134082311387,2.59231469465447,NA,NA
"A4",-0.652993984654131,-0.202252447945032,0.120245219773092,0.420793004223474,0.744502197533989,1.15695862150915,1.80783246467125,NA,NA,NA
"A5",-0.45313805671289,-0.00239652000379095,0.320101147714333,0.620648932164715,0.94435812547523,1.35681454945039,NA,NA,NA,NA
"A6",-0.229958554718271,0.220782981990828,0.543280649708952,0.843828434159334,1.16753762746985,NA,NA,NA,NA,NA
"A7",0.0586294615319237,0.509370998241023,0.831868665959147,1.13241645040953,NA,NA,NA,NA,NA,NA
"A8",0.475065523566407,0.925807060275507,1.24830472799363,NA,NA,NA,NA,NA,NA,NA
"A9",1.19136311544688,1.64210465215598,NA,NA,NA,NA,NA,NA,NA,NA
"A10",3.06453799580451,NA,NA,NA,NA,NA,NA,NA,NA,NA
