"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-0.176192346213868,-0.176192346213868,-0.176192346213868,0.0649223313712868,0.0955443612436919,0.134561643412497,0.19613258016794,0.289876076256976,0.467926694270605,0.974823390966096
"A2",-0.147911598032013,-0.147911598032013,-0.147911598032013,0.0932030795531409,0.123825109425546,0.162842391594352,0.224413328349794,0.31815682443883,0.496207442452459,NA
"A3",-0.126244994023235,-0.126244994023235,-0.126244994023235,0.114869683561919,0.145491713434324,0.18450899560313,0.246079932358572,0.339823428447609,NA,NA
"A4",-0.106711433201233,-0.106711433201233,-0.106711433201233,0.134403244383922,0.165025274256327,0.204042556425132,0.265613493180575,NA,NA,NA
"A5",-0.0878055932619776,-0.0878055932619776,-0.0878055932619776,0.153309084323177,0.183931114195582,0.222948396364387,NA,NA,NA,NA
"A6",-0.066693405167795,-0.066693405167795,-0.066693405167795,0.174421272417359,0.205043302289764,NA,NA,NA,NA,NA
"A7",-0.0393937453587682,-0.0393937453587682,-0.0393937453587682,0.201720932226386,NA,NA,NA,NA,NA,NA
"A8",0.803704095156487,0.803704095156487,0.803704095156487,NA,NA,NA,NA,NA,NA,NA
"A9",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
